FNDDS food code	FNDDS food description	Caffeinated status	Sugary status	Fatty status	Milk-containing status
92121040	coffee, made from powdered instant mix, with whitener and low calorie sweetener	1	1	1	-
92121041	coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted	0	1	1	-
92121050	coffee and cocoa (mocha), made from powdered instant mix, with whitener and low calorie sweetener, decaffeinated	0	1	1	-
92121050	coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, reconstituted	0	1	1	-
92130000	coffee, regular, presweetened with sugar, pre-lightened	1	1	1	-
92130000	coffee, pre-lightened and pre-sweetened with sugar	1	1	1	-
92130001	coffee, decaffeinated, presweetened with sugar, pre-lightened	0	1	1	-
92130005	coffee, regular, with low-calorie sweetener, pre-lightened	1	1	1	-
92130005	coffee, pre-lightened and pre-sweetened with low calorie sweetener	1	1	1	-
92130006	coffee, decaffeinated, with low-calorie sweetener, pre-lightened	0	1	1	-
92130010	coffee, pre-lightened, - sugar	1	0	1	-
92130011	coffee, decaffeinated, pre-lightened	0	-	1	-
92130020	coffee, presweetened with sugar	1	1	1	-
92130021	coffee, decaffeinated, pre-sweetened with sugar	0	1	1	-
92130030	coffee, pre-sweetened with low calorie sweetener	1	1	1	-
92130031	coffee, decaffeinated, pre-sweetened with low calorie sweetener	0	1	1	-
92150000	coffee and chicory, ns as to ground or instant	1	-	1	-
92151000	coffee and chicory, made from powdered instant	1	-	1	-
92151100	coffee, decaffeinated, and chicory, made from powdered instant	0	-	1	-
92152000	coffee and chicory, made from ground	1	-	1	-
92152000	coffee and chicory, brewed	1	-	1	-
92152010	coffee and chicory, brewed, decaffeinated	0	-	1	-
92153000	coffee, regular, with cereal	1	-	1	-
92153100	coffee, decaffeinated, with cereal	0	-	1	-
92161000	cappucci-	1	-	1	-
92161000	coffee, cappucci-	1	-	1	-
92161001	coffee, cappucci-, -nfat	1	-	0	-
92161002	coffee, cappucci-, with -n-dairy milk	1	-	1	1
92161005	cappucci-, sweetened	1	1	1	-
92162000	cappucci-, decaffeinated	0	-	1	-
92162000	coffee, cappucci-, decaffeinated	0	-	1	-
92162001	coffee, cappucci-, decaffeinated, -nfat	0	-	0	-
92162002	coffee, cappucci-, decaffeinated, with -n-dairy milk	0	-	1	1
92162005	cappucci-, decaffeinated, sweetened	0	1	1	-
92171000	coffee, bottled/canned	1	-	1	-
92171010	coffee, bottled/canned, light	1	-	1	-
92191000	coffee, dry instant powder, ns as to regular or decaffeinated	0	-	1	-
92191100	coffee, dry instant powder, regular	1	-	1	-
92191105	coffee, instant, 50% less caffeine, -t reconstituted	1	-	1	-
92191200	coffee, dry instant powder, decaffeinated	0	-	1	-
92191200	coffee, instant, decaffeinated, -t reconstituted	0	-	1	-
92191250	coffee, dry, acid neutralized	1	-	1	-
92191400	coffee, instant, pre-sweetened with sugar, -t reconstituted	1	1	1	-
92191500	coffee and chicory, dry instant powder	1	-	1	-
92191520	coffee, decaffeinated, and chicory, dry instant powder	0	-	1	-
92192000	coffee and cocoa (mocha) mix, dry instant powder with whitener, presweetened	1	1	1	-
92192000	coffee, mocha, instant, pre-lightened and pre-sweetened with sugar, -t reconstituted	1	1	1	-
92192030	coffee and cocoa (mocha) mix, dry instant powder with whitener and low calorie sweetener	1	1	1	-
92192030	coffee, mocha, instant, pre-lightened and pre-sweetened with low calorie sweetener, -t reconstituted	1	1	1	-
92192040	coffee and cocoa (mocha) mix, dry instant powder, with whitener and low calorie sweetener, decaffeinated	0	1	1	-
92192040	coffee, mocha, instant, decaffeinated, pre-lightened and pre-sweetend with low calorie sweetener, -t reconstituted	0	1	1	-
92193000	coffee, dry instant powder, with whitener and sugar	1	1	1	-
92193005	coffee, instant, decaffeinated, pre-lightened and pre-sweetened with sugar, -t reconstituted	0	1	1	-
92193020	coffee, dry instant powder, with whitener and low calorie sweetener	1	1	1	-
92193025	coffee, instant, decaffeinated, pre-lightened and pre-sweetened with low calorie sweetener, -t reconstituted	0	1	1	-
